Pressure (V),Centroid (Ch),FWHM (Ch),Rate (cps)
-0.023,930.6,4.14,20.19
0.203,900.68,6.114,19.7
0.406,874.09,6.8997,19.4
0.608,846.93,9.0089,19.68
0.808,820.72,9.6666,18.88
1.004,793.38,10.8002,18.82
1.202,765.32,11.6817,18.67
1.401,736.27,12.5621,18.64
1.603,706.51,13.1353,18.3
1.8,676.2,13.5502,17.76
2.022,642.18,13.7748,17.84
2.203,612.78,15.1151,17.85
2.401,579.86,16.1944,17.8
2.604,544.54,17.781,17.81
2.804,508.11,19.1274,17.83
3.001,471.01,18.8205,17.73
3.203,428.19,22.1904,17.21
3.404,384.68,22.4507,17.23
3.6,339.54,24.5349,17.25
3.801,285.68,25.1106,17.35
3.905,257.48,25.2589,17.03
4.001,230.47,29.3617,17.07
4.106,199.14,31.4812,17.3
4.173,177.08,32.9603,16.88
4.251,150.37,35.7393,16.69
4.326,125.16,38.02345,16.47
4.425,92.485,38.2461,16.345
4.504,63.95,39.2513,16.21
4.547,50.26,34.8061,15.87
4.576,42.67,28.6287,15.28
4.609,34.79,28.5106,15.57
4.64,28.26,29.219,14.93
4.661,24.42,25.632,14.3
4.691,19.975,19.42535,12.05
4.72,16.19,12.8631,9.32
4.732,15.31,9.9887,7.65
4.745,14.55,8.035,6.15
4.763,13.32,7.0776,4.01
4.786,12.295,5.1373,2.2
4.801,11.99,5.8503,1.09
4.81,11.67,4.3396,0.78
