Pressure (V),Centroid (Ch),FWHM (Ch),Rate (cps)
0.0072,916.06,3.8276,22.83
0.2091,890.84,5.697,22.06
0.4083,865.28,7.7808,21.65
0.60087,839.8,9.5746,21.68
0.8066,814.64,8.6271,20.8
1.0007,788.7,10.9679,20.89
1.2038,761.59,10.9563,20.08
1.4107,732.32,12.9446,20.13
1.6043,705.09,12.8154,19.79
1.8051,676.51,12.3504,20.13
2.0098,645.26,14.2845,19.37
2.21,614.43,14.2151,19.56
2.4017,583.51,15.1002,19.93
2.6049,549.19,17.9052,19.07
2.8069,514.33,18.3771,19.24
3.008,476.65,21.8786,19.13
3.1544,449.48,21.2692,19.88
3.3017,419.81,24.1989,19.06
3.4528,388.52,26.1285,18.68
3.6083,353.76,29.0706,19.05
3.7484,322.96,27.2208,18.59
3.9064,282.48,32.8923,19.09
4.051,245.7,31.9007,18.83
4.197,202.98,34.7961,18.5
4.3565,153.01,41.3741,18.28
4.5019,104.3,40.7646,18.24
4.6004,71,39.555,17.49
4.7043,40.52,30.1927,17.09
4.7504,28.5,30.0915,15.87
4.7957,19.57,23.2449,14.17
4.8473,13.68,17.1347,8.847
4.8795,12.07,12.1049,5.237
4.9124,10.92,8.0664,2.147
4.9286,10.6,6.592,1.227
4.9411,10.36,6.1557,0.757
4.9503,10.35,6.0974,0.757
4.9771,9.77,4.3323,0.257
